eV_CaUO4,CaUO4
3593.861821,0.001086428
3594.032434,0.001554455
3594.105597,0.00402898
3594.16708,0.029286548
3594.196724,0.003186341
3594.200704,0.0082563
3594.212793,0.009701244
3594.272937,0.015976917
3594.300994,0.013930256
3594.422126,0.003971043
3594.542303,0.026029139
3594.577266,0.007625244
3594.636977,0.008751261
3594.686037,0.032908851
3594.721087,0.007201743
3594.762014,0.005144509
3594.84021,0.011438907
3594.887101,0.02950785
3594.961094,0.00090824
3594.981341,0.013937542
3595.131236,0.029857346
3595.148706,0.009537627
3595.165034,0.007940492
3595.268201,0.048453372
3595.274189,0.09876224
3595.315972,0.283163722
3595.349993,0.218671888
3595.386357,0.178769997
3595.487366,0.239172928
3595.544299,0.18071295
3595.581184,0.159808127
3595.603935,0.004704381
3595.615503,0.426600575
3595.664923,0.005327536
3595.686173,0.051233203
3595.723988,0.017617991
3595.734105,0.022915684
3595.746727,0.078709733
3595.765634,0.225575667
3595.794374,0.002818945
3595.795204,0.013009612
3595.851629,0.068794879
3595.855931,0.019704773
3595.916274,0.031148994
3595.96366,0.024286609
3595.983138,0.147047632
3596.000781,0.067683335
3596.035893,0.059578793
3596.058446,0.053047557
3596.073014,0.047136665
3596.099546,0.049588871
3596.13022,0.071141755
3596.167427,0.023780125
3596.171047,0.180290008
3596.203853,0.025005543
3596.283847,0.042523364
3596.379389,0.006351286
3596.407967,0.035600776
3596.427284,0.208996389
3596.519651,0.043992248
3596.536439,0.016655813
3596.570832,0.004944366
3596.615788,0.121480535
3596.714243,0.029163374
3596.754935,0.010024519
3596.807367,0.003156065
3596.825543,0.001583389
3596.863147,0.007210665
3596.883828,0.000292594
3596.901954,0.013087519
3596.94117,0.005223661
3596.995425,0.009436255
3597.050486,0.007252366
3597.09579,0.02608179
3597.146573,0.006911806
3597.199192,0.024711676
3597.217293,0.023983457
3597.396362,0.014990043
3597.549296,0.007065172
3597.56524,0.013785015
3597.62376,0.018268821
3597.688951,0.070496533
3597.747545,0.022718743
3597.860035,0.015201221
3610.872384,1.33E-06
3610.878397,4.89E-07
3610.883059,2.63E-06
3610.889258,1.45E-06
3610.9375,6.15E-07
3610.941108,4.47E-07
3610.947518,7.55E-07
3610.949415,1.09E-05
3611.287629,1.31E-06
3611.30402,1.55E-06
3611.312326,2.10E-07
3611.31984,8.67E-07
3611.341735,9.79E-08
3611.354295,8.39E-08
3611.356824,2.62E-06
3611.36094,1.19E-06
3611.78686,3.08E-06
3611.796469,1.54E-06
3611.821638,1.58E-06
3611.849559,1.22E-05
3612.195571,1.10E-06
3612.198299,2.48E-06
3612.202676,9.51E-07
3612.219822,3.22E-07
3613.266527,3.64E-07
3613.269193,2.38E-07
3613.294113,6.91E-06
3613.294919,1.17E-06
3613.310132,7.69E-06
3613.319406,4.89E-07
3613.323125,6.01E-07
3613.347711,1.62E-06
3613.624182,3.22E-06
3613.629612,3.22E-07
3613.634968,8.95E-07
3613.671692,1.21E-05
3613.691529,5.03E-07
3613.698014,4.06E-07
3613.7165,6.43E-07
3613.744508,3.55E-06
3614.162604,1.48E-06
3614.173093,5.64E-06
3614.190054,2.75E-06
3614.194133,1.15E-06
3614.538447,2.63E-06
3614.540567,4.36E-06
3614.548006,5.09E-06
3614.582027,8.00E-06
3677.441046,1.82E-03
3679.475278,1.15E-04
3680.324923,5.97E-06
3680.461454,9.79E-08
3680.649697,1.08E-06
3680.901842,1.42E-05
3681.106093,4.47E-06
3681.38353,1.47E-05
3681.597463,4.28E-06
3681.794969,1.68E-07
3681.83664,2.38E-06
3681.970418,4.68E-05
3682.02409,3.83E-06
3682.100612,7.05E-06
3683.032112,7.54E-05
3684.323473,1.26E-04
3684.546221,8.50E-06
3684.614548,8.68E-06
3684.953283,8.02E-05
3685.993528,1.21E-03
3764.696142,1
3764.758047,8.79E-01
3764.785769,8.11E-01
3764.839392,2.43E-03
3764.87138,0.146107802
3764.919002,0.013007221
3764.938988,0.009390708
3765.012795,0.005935728
3765.237788,0.177210955
3765.245747,0.078450799
3765.285124,0.016047202
3765.401433,0.170320643
3765.436198,0.002037459
3765.552197,1.32E-02
3765.595492,1.50E-03
3765.635601,6.68E-03
3765.675883,0.002080084
3765.792117,1.67E-02
3765.832523,8.95E-02
3765.865738,9.87E-02
3765.993181,0.006416747
3766.017147,0.00585522
3766.06343,0.010596953
3766.101108,0.003571525
3766.247458,7.88E-03
3766.32496,1.94E-03
3766.335387,4.55E-03
3766.368181,7.46E-03
3766.379935,9.37E-04
3766.40157,6.71E-03
3766.459271,1.92E-03
3766.486374,1.04E-03
3766.620016,6.22E-04
3766.67871,1.59E-03
3766.734118,5.38E-04
3766.783897,3.46E-03
3766.801825,9.57E-04
3766.806065,2.96E-03
3766.859205,7.27E-04
3766.912232,1.30E-03
3766.950295,2.23E-04
3766.980448,1.43E-03
3767.047746,1.63E-03
3767.058446,6.11E-05
3767.24173,6.13E-03
3767.272019,9.02E-03
3767.285372,1.91E-03
3767.313417,6.76E-03
3767.323051,0.003372025
3767.373463,0.004186388
3767.479431,0.002943993
3767.54699,0.000334001
3767.664104,0.003694573
3767.673403,2.20E-03
3767.703543,0.002448668
3767.756695,1.17E-03
3781.586094,6.89E-06
3781.592182,5.03E-07
3781.595827,2.96E-06
3781.599298,4.99E-06
3781.656095,6.01E-07
3781.664042,5.87E-07
3781.677643,1.02E-06
3781.679677,1.96E-07
3782.021858,6.99E-08
3782.024697,8.39E-08
3782.031864,1.26E-07
3782.070807,7.83E-07
3782.08964,2.66E-07
3782.103873,5.87E-07
3782.11404,4.61E-07
3782.115255,1.40E-08
3783.924469,4.20E-07
3783.952366,2.48E-06
3783.969711,2.10E-07
3783.981068,2.52E-07
3784.006162,5.17E-07
3784.01251,2.94E-07
3784.016874,1.68E-07
3784.026384,1.01E-06
3784.347612,6.99E-08
3784.352534,1.01E-06
3784.354766,2.74E-06
3784.36306,1.82E-07
3784.397602,2.38E-07
3784.4025,6.99E-08
3784.42892,8.39E-08
3784.441827,2.52E-07